title,author,rating,isbn,
The Martians (Mars Trilogy  #3.5),Kim Stanley Robinson,3.56,553574019,
Pirates of Venus (Venus  #1),Edgar Rice Burroughs-Thomas Floyd-F. Paul Wilson-Phillip R. Burger,3.69,803261837,
Swords of Mars (Barsoom  #8),Edgar Rice Burroughs,3.81,345329562,
The Chessmen of Mars (Barsoom #5),Edgar Rice Burroughs-John Bolen,3.83,1400130212,
The Warlord of Mars (Barsoom  #3),Edgar Rice Burroughs-John Bolen,3.86,1400130220,
Synthetic Men of Mars (Barsoom  #9),Edgar Rice Burroughs,3.77,345339304,
The Master Mind of Mars (Barsoom #6),Edgar Rice Burroughs,3.84,345334248,
A Fighting Man of Mars (Barsoom #7),Edgar Rice Burroughs,3.84,345345118,
Thuvia  Maid of Mars (Barsoom  #4),Edgar Rice Burroughs,3.75,345339932,
John Carter of Mars (Barsoom #11),Edgar Rice Burroughs,3.82,345329554,
A Princess of Mars (Barsoom  #1),Edgar Rice Burroughs-John Seelye,3.8,143104888,
Return to Mars (Barsoom  #4-6),Edgar Rice Burroughs,3.97,739448846,
The Gods of Mars (Barsoom  #2),Edgar Rice Burroughs-Robert Abbot,3.87,345020324,
Escape on Venus (Venus  #4),Edgar Rice Burroughs,3.7,345370112,
Lost on Venus (Venus  #2),Edgar Rice Burroughs-Frank Frazetta,3.74,441062210,
Tarzan of the Apes: Tarzan of the Apes/The Son of Tarzan/Tarzan at the Earth's Core/Tarzan Triumphant,Edgar Rice Burroughs-Esteban Maroto-J. Allen St. John-Studley Burroughs,4.14,517659573,
Tarzan of the Apes (Tarzan  #1),Edgar Rice Burroughs,3.89,809599813,
The Five People You Meet in Heaven,Mitch Albom,3.92,751536822,
Murder in the Bastille (Aimee Leduc Investigations  #4),Cara Black,3.73,1569473641,
The Heart of the Matter/Orient Express (aka Stamboul Train)/A Burnt-out Case/The Third Man/The Quiet American/Loser Takes All/The Power & the Glory,Graham Greene,4.15,905712013,
The Thirteenth Tale,Diane Setterfield,3.96,743298020,
Altered Carbon (Takeshi Kovacs  #1),Richard K. Morgan,4.06,345457692,
Altered Carbon,Richard K. Morgan,4.06,739432141,
Thirteen,Richard K. Morgan,3.89,345485254,
Market Forces,Richard K. Morgan,3.59,345457749,
Black Widow: The Things They Say About Her,Richard K. Morgan-Bill Sienkiewicz-Sean Phillips,3.52,785117687,
Black Widow: Homecoming,Richard K. Morgan-Bill Sienkiewicz-Goran Parlov,3.81,785114939,
